id,decision,decision_source,species,rank,review_key,filename,tile_name
aeneus-0841,keep,auto_fill,D. aeneus,1,Process_395_green.ome.tiff::tile_y020480_x016384.tiff::5,Process_395_green.ome.tiff,tile_y020480_x016384.tiff
aeneus-0842,problem,explicit,D. aeneus,2,Process_395_green.ome.tiff::tile_y028672_x024576.tiff::1,Process_395_green.ome.tiff,tile_y028672_x024576.tiff
aeneus-0843,keep,auto_fill,D. aeneus,3,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::8,Process_395_green.ome.tiff,tile_y040960_x057344.tiff
aeneus-0844,keep,auto_fill,D. aeneus,4,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::4,Process_395_green.ome.tiff,tile_y012288_x012288.tiff
aeneus-0845,keep,auto_fill,D. aeneus,5,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::10,Process_395_green.ome.tiff,tile_y012288_x012288.tiff
aeneus-0846,keep,auto_fill,D. aeneus,6,Process_395_green.ome.tiff::tile_y008192_x040960.tiff::1,Process_395_green.ome.tiff,tile_y008192_x040960.tiff
aeneus-0847,problem,explicit,D. aeneus,7,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::11,Process_395_green.ome.tiff,tile_y040960_x057344.tiff
aeneus-0848,problem,explicit,D. aeneus,8,Process_395_green.ome.tiff::tile_y040960_x036864.tiff::3,Process_395_green.ome.tiff,tile_y040960_x036864.tiff
aeneus-0849,keep,auto_fill,D. aeneus,9,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::23,Process_395_green.ome.tiff,tile_y024576_x008192.tiff
aeneus-0850,keep,auto_fill,D. aeneus,10,Process_395_green.ome.tiff::tile_y020480_x016384.tiff::4,Process_395_green.ome.tiff,tile_y020480_x016384.tiff
aeneus-0851,problem,explicit,D. aeneus,11,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::9,Process_395_green.ome.tiff,tile_y040960_x057344.tiff
aeneus-0852,keep,auto_fill,D. aeneus,12,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::7,Process_395_green.ome.tiff,tile_y012288_x012288.tiff
aeneus-0853,keep,auto_fill,D. aeneus,13,Process_395_green.ome.tiff::tile_y024576_x016384.tiff::2,Process_395_green.ome.tiff,tile_y024576_x016384.tiff
aeneus-0854,problem,explicit,D. aeneus,14,Process_396_green.ome.tiff::tile_y053248_x032768.tiff::1,Process_396_green.ome.tiff,tile_y053248_x032768.tiff
aeneus-0855,keep,auto_fill,D. aeneus,15,Process_393_green.ome.tiff::tile_y008192_x053248.tiff::1,Process_393_green.ome.tiff,tile_y008192_x053248.tiff
aeneus-0856,problem,explicit,D. aeneus,16,Process_393_green.ome.tiff::tile_y040960_x000000.tiff::3,Process_393_green.ome.tiff,tile_y040960_x000000.tiff
aeneus-0857,problem,explicit,D. aeneus,17,Process_395_green.ome.tiff::tile_y040960_x036864.tiff::4,Process_395_green.ome.tiff,tile_y040960_x036864.tiff
aeneus-0858,problem,explicit,D. aeneus,18,Process_395_green.ome.tiff::tile_y028672_x024576.tiff::5,Process_395_green.ome.tiff,tile_y028672_x024576.tiff
aeneus-0859,problem,explicit,D. aeneus,19,Process_395_green.ome.tiff::tile_y012288_x012288.tiff::2,Process_395_green.ome.tiff,tile_y012288_x012288.tiff
aeneus-0860,keep,auto_fill,D. aeneus,20,Process_395_green.ome.tiff::tile_y008192_x024576.tiff::4,Process_395_green.ome.tiff,tile_y008192_x024576.tiff
aeneus-0861,problem,explicit,D. aeneus,21,Process_393_green.ome.tiff::tile_y008192_x053248.tiff::4,Process_393_green.ome.tiff,tile_y008192_x053248.tiff
aeneus-0862,keep,auto_fill,D. aeneus,22,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::2,Process_395_green.ome.tiff,tile_y008192_x020480.tiff
aeneus-0863,keep,auto_fill,D. aeneus,23,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::10,Process_395_green.ome.tiff,tile_y024576_x008192.tiff
aeneus-0864,keep,explicit,D. aeneus,24,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::16,Process_395_green.ome.tiff,tile_y024576_x008192.tiff
aeneus-0865,problem,explicit,D. aeneus,25,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::7,Process_395_green.ome.tiff,tile_y040960_x057344.tiff
aeneus-0866,keep,auto_fill,D. aeneus,26,Process_395_green.ome.tiff::tile_y012288_x020480.tiff::6,Process_395_green.ome.tiff,tile_y012288_x020480.tiff
aeneus-0867,keep,auto_fill,D. aeneus,27,Process_395_green.ome.tiff::tile_y008192_x040960.tiff::7,Process_395_green.ome.tiff,tile_y008192_x040960.tiff
aeneus-0868,keep,auto_fill,D. aeneus,28,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::5,Process_395_green.ome.tiff,tile_y040960_x057344.tiff
aeneus-0869,problem,explicit,D. aeneus,29,Process_395_green.ome.tiff::tile_y008192_x040960.tiff::15,Process_395_green.ome.tiff,tile_y008192_x040960.tiff
aeneus-0870,problem,explicit,D. aeneus,30,Process_395_green.ome.tiff::tile_y053248_x053248.tiff::1,Process_395_green.ome.tiff,tile_y053248_x053248.tiff
aeneus-0871,keep,auto_fill,D. aeneus,31,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::1,Process_395_green.ome.tiff,tile_y008192_x020480.tiff
aeneus-0872,problem,explicit,D. aeneus,32,Process_395_green.ome.tiff::tile_y040960_x040960.tiff::12,Process_395_green.ome.tiff,tile_y040960_x040960.tiff
aeneus-0873,problem,explicit,D. aeneus,33,Process_396_green.ome.tiff::tile_y077824_x040960.tiff::2,Process_396_green.ome.tiff,tile_y077824_x040960.tiff
aeneus-0874,problem,explicit,D. aeneus,34,Process_395_green.ome.tiff::tile_y040960_x040960.tiff::9,Process_395_green.ome.tiff,tile_y040960_x040960.tiff
aeneus-0875,keep,auto_fill,D. aeneus,35,Process_395_green.ome.tiff::tile_y032768_x004096.tiff::1,Process_395_green.ome.tiff,tile_y032768_x004096.tiff
aeneus-0876,problem,explicit,D. aeneus,36,Process_395_green.ome.tiff::tile_y040960_x040960.tiff::3,Process_395_green.ome.tiff,tile_y040960_x040960.tiff
aeneus-0877,keep,auto_fill,D. aeneus,37,Process_395_green.ome.tiff::tile_y028672_x024576.tiff::8,Process_395_green.ome.tiff,tile_y028672_x024576.tiff
aeneus-0878,problem,explicit,D. aeneus,38,Process_395_green.ome.tiff::tile_y040960_x057344.tiff::2,Process_395_green.ome.tiff,tile_y040960_x057344.tiff
aeneus-0879,keep,auto_fill,D. aeneus,39,Process_395_green.ome.tiff::tile_y024576_x008192.tiff::3,Process_395_green.ome.tiff,tile_y024576_x008192.tiff
aeneus-0880,problem,explicit,D. aeneus,40,Process_396_green.ome.tiff::tile_y020480_x045056.tiff::1,Process_396_green.ome.tiff,tile_y020480_x045056.tiff
amphileucus-0001,keep,initial_default,D. amphileucus,1,Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::116,Process_338_raw_green.ome.tiff,tile_y024576_x004096.tiff
amphileucus-0002,keep,initial_default,D. amphileucus,2,Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::116,Process_338_raw_green.ome.tiff,tile_y008192_x086016.tiff
amphileucus-0003,keep,initial_default,D. amphileucus,3,Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::102,Process_337_raw_green.ome.tiff,tile_y020480_x094208.tiff
amphileucus-0004,keep,initial_default,D. amphileucus,4,Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::32,Process_337_raw_green.ome.tiff,tile_y032768_x040960.tiff
amphileucus-0005,keep,initial_default,D. amphileucus,5,Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::31,Process_337_raw_green.ome.tiff,tile_y020480_x094208.tiff
amphileucus-0006,keep,initial_default,D. amphileucus,6,Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::18,Process_338_raw_green.ome.tiff,tile_y040960_x106496.tiff
amphileucus-0007,keep,initial_default,D. amphileucus,7,Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::54,Process_338_raw_green.ome.tiff,tile_y008192_x081920.tiff
amphileucus-0008,keep,initial_default,D. amphileucus,8,Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::37,Process_337_raw_green.ome.tiff,tile_y045056_x049152.tiff
amphileucus-0009,keep,initial_default,D. amphileucus,9,Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::54,Process_338_raw_green.ome.tiff,tile_y040960_x106496.tiff
amphileucus-0010,keep,initial_default,D. amphileucus,10,Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::37,Process_338_raw_green.ome.tiff,tile_y040960_x106496.tiff
amphileucus-0012,keep,initial_default,D. amphileucus,12,Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::100,Process_338_raw_green.ome.tiff,tile_y008192_x086016.tiff
amphileucus-0013,keep,initial_default,D. amphileucus,13,Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::22,Process_338_raw_green.ome.tiff,tile_y008192_x086016.tiff
amphileucus-0014,keep,initial_default,D. amphileucus,14,Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::95,Process_337_raw_green.ome.tiff,tile_y040960_x094208.tiff
amphileucus-0015,keep,initial_default,D. amphileucus,15,Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::109,Process_338_raw_green.ome.tiff,tile_y024576_x004096.tiff
amphileucus-0016,keep,initial_default,D. amphileucus,16,Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::100,Process_337_raw_green.ome.tiff,tile_y045056_x049152.tiff
amphileucus-0017,keep,initial_default,D. amphileucus,17,Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::23,Process_337_raw_green.ome.tiff,tile_y040960_x094208.tiff
amphileucus-0018,keep,initial_default,D. amphileucus,18,Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::113,Process_338_raw_green.ome.tiff,tile_y024576_x004096.tiff
amphileucus-0019,keep,initial_default,D. amphileucus,19,Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::8,Process_337_raw_green.ome.tiff,tile_y020480_x094208.tiff
amphileucus-0020,keep,initial_default,D. amphileucus,20,Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::113,Process_338_raw_green.ome.tiff,tile_y008192_x086016.tiff
amphileucus-0022,keep,initial_default,D. amphileucus,22,Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::2,Process_338_raw_green.ome.tiff,tile_y040960_x106496.tiff
amphileucus-0023,keep,initial_default,D. amphileucus,23,Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::68,Process_338_raw_green.ome.tiff,tile_y008192_x081920.tiff
amphileucus-0024,keep,initial_default,D. amphileucus,24,Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::75,Process_337_raw_green.ome.tiff,tile_y040960_x094208.tiff
amphileucus-0025,keep,initial_default,D. amphileucus,25,Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::91,Process_337_raw_green.ome.tiff,tile_y032768_x040960.tiff
amphileucus-0026,keep,initial_default,D. amphileucus,26,Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::10,Process_338_raw_green.ome.tiff,tile_y008192_x081920.tiff
amphileucus-0027,keep,initial_default,D. amphileucus,27,Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::98,Process_338_raw_green.ome.tiff,tile_y008192_x081920.tiff
amphileucus-0028,keep,initial_default,D. amphileucus,28,Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::86,Process_337_raw_green.ome.tiff,tile_y020480_x094208.tiff
amphileucus-0030,keep,initial_default,D. amphileucus,30,Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::1,Process_338_raw_green.ome.tiff,tile_y008192_x086016.tiff
amphileucus-0032,keep,initial_default,D. amphileucus,32,Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::62,Process_337_raw_green.ome.tiff,tile_y020480_x094208.tiff
amphileucus-0034,keep,initial_default,D. amphileucus,34,Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::62,Process_338_raw_green.ome.tiff,tile_y008192_x081920.tiff
amphileucus-0036,keep,initial_default,D. amphileucus,36,Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::31,Process_337_raw_green.ome.tiff,tile_y040960_x094208.tiff
amphileucus-0037,keep,initial_default,D. amphileucus,37,Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::49,Process_337_raw_green.ome.tiff,tile_y020480_x094208.tiff
amphileucus-0039,keep,initial_default,D. amphileucus,39,Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::108,Process_337_raw_green.ome.tiff,tile_y032768_x040960.tiff
amphileucus-0040,keep,initial_default,D. amphileucus,40,Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::86,Process_337_raw_green.ome.tiff,tile_y045056_x049152.tiff
anicetus-0041,keep,initial_default,D. anicetus,1,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::79,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0042,keep,initial_default,D. anicetus,2,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::92,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0043,keep,initial_default,D. anicetus,3,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::76,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0044,keep,initial_default,D. anicetus,4,Process_343_raw_green.ome.tiff::tile_y045056_x053248.tiff::35,Process_343_raw_green.ome.tiff,tile_y045056_x053248.tiff
anicetus-0045,keep,initial_default,D. anicetus,5,Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::24,Process_343_raw_green.ome.tiff,tile_y045056_x045056.tiff
anicetus-0046,keep,initial_default,D. anicetus,6,Process_343_raw_green.ome.tiff::tile_y045056_x053248.tiff::23,Process_343_raw_green.ome.tiff,tile_y045056_x053248.tiff
anicetus-0047,keep,initial_default,D. anicetus,7,Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::41,Process_343_raw_green.ome.tiff,tile_y045056_x045056.tiff
anicetus-0048,keep,initial_default,D. anicetus,8,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::83,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0049,keep,initial_default,D. anicetus,9,Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::32,Process_343_raw_green.ome.tiff,tile_y045056_x045056.tiff
anicetus-0050,keep,initial_default,D. anicetus,10,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::133,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0051,keep,initial_default,D. anicetus,11,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::35,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0052,keep,initial_default,D. anicetus,12,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::114,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0053,keep,initial_default,D. anicetus,13,Process_343_raw_green.ome.tiff::tile_y045056_x053248.tiff::27,Process_343_raw_green.ome.tiff,tile_y045056_x053248.tiff
anicetus-0054,keep,initial_default,D. anicetus,14,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::103,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0055,keep,initial_default,D. anicetus,15,Process_343_raw_green.ome.tiff::tile_y045056_x053248.tiff::22,Process_343_raw_green.ome.tiff,tile_y045056_x053248.tiff
anicetus-0056,keep,initial_default,D. anicetus,16,Process_343_raw_green.ome.tiff::tile_y012288_x036864.tiff::4,Process_343_raw_green.ome.tiff,tile_y012288_x036864.tiff
anicetus-0057,keep,initial_default,D. anicetus,17,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::117,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0058,keep,initial_default,D. anicetus,18,Process_343_raw_green.ome.tiff::tile_y012288_x036864.tiff::36,Process_343_raw_green.ome.tiff,tile_y012288_x036864.tiff
anicetus-0059,keep,initial_default,D. anicetus,19,Process_343_raw_green.ome.tiff::tile_y012288_x036864.tiff::32,Process_343_raw_green.ome.tiff,tile_y012288_x036864.tiff
anicetus-0060,keep,initial_default,D. anicetus,20,Process_343_raw_green.ome.tiff::tile_y045056_x053248.tiff::13,Process_343_raw_green.ome.tiff,tile_y045056_x053248.tiff
anicetus-0061,keep,initial_default,D. anicetus,21,Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::55,Process_343_raw_green.ome.tiff,tile_y045056_x045056.tiff
anicetus-0062,keep,initial_default,D. anicetus,22,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::60,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0063,keep,initial_default,D. anicetus,23,Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::68,Process_343_raw_green.ome.tiff,tile_y045056_x045056.tiff
anicetus-0064,keep,initial_default,D. anicetus,24,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::1,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0066,keep,initial_default,D. anicetus,26,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::28,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
anicetus-0067,keep,initial_default,D. anicetus,27,Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::62,Process_343_raw_green.ome.tiff,tile_y045056_x045056.tiff
anicetus-0068,keep,initial_default,D. anicetus,28,Process_343_raw_green.ome.tiff::tile_y045056_x053248.tiff::26,Process_343_raw_green.ome.tiff,tile_y045056_x053248.tiff
anicetus-0069,keep,initial_default,D. anicetus,29,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::120,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0070,keep,initial_default,D. anicetus,30,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::6,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0071,keep,initial_default,D. anicetus,31,Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::86,Process_343_raw_green.ome.tiff,tile_y040960_x012288.tiff
anicetus-0072,keep,initial_default,D. anicetus,32,Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::17,Process_343_raw_green.ome.tiff,tile_y045056_x040960.tiff
